state,date,new_confirmed,new_deaths,estimated_population_2019,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_death_rate,epidemiological_week
AC,2020-05-01,83,0,881935,487,55.21949,0.039,18
AL,2020-05-01,181,6,3337357,1226,36.73566,0.0432,18
AM,2020-05-01,469,51,4144597,5723,138.08339,0.0832,18
AP,2020-05-01,41,3,845731,1121,132.54806,0.033,18
BA,2020-05-01,273,11,14873064,3140,21.11199,0.0373,18
CE,2020-05-01,139,47,9132078,8000,87.60328,0.0674,18
DF,2020-05-01,123,1,3015268,1546,51.27239,0.0201,18
ES,2020-05-01,225,8,4018650,2913,72.48703,0.0347,18
GO,2020-05-01,27,0,7018354,808,11.51267,0.0359,18
MA,2020-05-01,299,20,7075181,3805,53.77954,0.0589,18
MG,2020-05-01,108,6,21168791,1935,9.14081,0.0455,18
MS,2020-05-01,6,0,2778986,261,9.39191,0.0345,18
MT,2020-05-01,18,0,3484466,320,9.18362,0.0344,18
PA,2020-05-01,360,39,8602865,3359,39.04513,0.0783,18
PB,2020-05-01,108,7,4018127,1034,25.73338,0.0716,18
PE,2020-05-01,458,38,9557071,7334,76.73899,0.0822,18
PI,2020-05-01,65,2,3273227,665,20.31634,0.0391,18
PR,2020-05-01,41,4,11433957,1464,12.80397,0.0628,18
RJ,2020-05-01,713,67,17264943,10166,58.88233,0.0906,18
RN,2020-05-01,69,3,3506853,1366,38.9523,0.0432,18
RO,2020-05-01,83,2,1777225,585,32.91648,0.0308,18
RR,2020-05-01,0,0,605761,519,85.67735,0.0135,18
RS,2020-05-01,90,4,11377239,1619,14.23017,0.0383,18
SC,2020-05-01,-290,2,7164788,2104,29.36584,0.0238,18
SE,2020-05-01,64,0,2298696,517,22.49101,0.0271,18
SP,2020-05-01,1676,136,45919049,30374,66.14684,0.0827,18
TO,2020-05-01,27,1,1572866,191,12.14344,0.0209,18
AC,2020-05-02,66,3,881935,553,62.70303,0.0398,18
AL,2020-05-02,145,5,3337357,1371,41.08041,0.0423,18
AM,2020-05-02,339,25,4144597,6062,146.26271,0.0826,18
AP,2020-05-02,66,3,845731,1187,140.35196,0.0337,18
BA,2020-05-02,175,6,14873064,3315,22.28862,0.0371,18
CE,2020-05-02,309,99,9132078,8309,90.98696,0.0768,18
DF,2020-05-02,59,1,3015268,1605,53.2291,0.0199,18
ES,2020-05-02,191,3,4018650,3104,77.23987,0.0335,18
GO,2020-05-02,17,1,7018354,825,11.75489,0.0364,18
MA,2020-05-02,235,13,7075181,4040,57.10101,0.0587,18
MG,2020-05-02,88,0,21168791,2023,9.55652,0.0435,18
MS,2020-05-02,5,0,2778986,266,9.57184,0.0338,18
MT,2020-05-02,13,1,3484466,333,9.5567,0.036,18
PA,2020-05-02,368,43,8602865,3727,43.32278,0.0821,18
PB,2020-05-02,135,2,4018127,1169,29.09316,0.065,18
PE,2020-05-02,811,25,9557071,8145,85.22486,0.0771,18
PI,2020-05-02,77,2,3273227,742,22.66876,0.0377,18
PR,2020-05-02,46,1,11433957,1510,13.20628,0.0616,18
RJ,2020-05-02,380,50,17264943,10546,61.08332,0.0921,18
RN,2020-05-02,26,2,3506853,1392,39.69371,0.0438,18
RO,2020-05-02,69,5,1777225,654,36.79894,0.0352,18
RR,2020-05-02,0,0,605761,519,85.67735,0.0135,18
RS,2020-05-02,47,3,11377239,1666,14.64327,0.039,18
SC,2020-05-02,242,2,7164788,2346,32.74347,0.0222,18
SE,2020-05-02,84,0,2298696,601,26.14526,0.0233,18
SP,2020-05-02,800,75,45919049,31174,67.88904,0.083,18
TO,2020-05-02,55,0,1572866,246,15.64024,0.0163,18
AC,2020-05-03,105,3,881935,658,74.60867,0.038,19
AL,2020-05-03,70,6,3337357,1441,43.17788,0.0444,19
AM,2020-05-03,621,47,4144597,6683,161.24608,0.082,19
AP,2020-05-03,295,3,845731,1482,175.23302,0.029,19
BA,2020-05-03,251,5,14873064,3566,23.97623,0.0359,19
CE,2020-05-03,70,39,9132078,8379,91.75349,0.0808,19
DF,2020-05-03,115,1,3015268,1720,57.04302,0.0192,19
ES,2020-05-03,104,11,4018650,3208,79.8278,0.0358,19
GO,2020-05-03,25,0,7018354,850,12.1111,0.0353,19
MA,2020-05-03,187,12,7075181,4227,59.74405,0.0589,19
MG,2020-05-03,95,1,21168791,2118,10.0053,0.042,19
MS,2020-05-03,6,1,2778986,272,9.78774,0.0368,19
MT,2020-05-03,4,0,3484466,337,9.6715,0.0356,19
PA,2020-05-03,193,11,8602865,3920,45.56622,0.0809,19
PB,2020-05-03,50,3,4018127,1219,30.33752,0.0648,19
PE,2020-05-03,498,24,9557071,8643,90.43566,0.0754,19
PI,2020-05-03,42,0,3273227,784,23.9519,0.0357,19
PR,2020-05-03,23,3,11433957,1533,13.40743,0.0626,19
RJ,2020-05-03,593,48,17264943,11139,64.51802,0.0915,19
RN,2020-05-03,29,1,3506853,1421,40.52066,0.0436,19
RO,2020-05-03,51,1,1777225,705,39.66858,0.034,19
RR,2020-05-03,14,0,605761,533,87.9885,0.0131,19
RS,2020-05-03,24,2,11377239,1690,14.85422,0.0396,19
SC,2020-05-03,173,0,7164788,2519,35.15805,0.0206,19
SE,2020-05-03,129,0,2298696,730,31.75714,0.0192,19
SP,2020-05-03,598,41,45919049,31772,69.19133,0.0827,19
TO,2020-05-03,21,2,1572866,267,16.97538,0.0225,19
AC,2020-05-04,75,3,881935,733,83.1127,0.0382,19
AL,2020-05-04,97,8,3337357,1538,46.08437,0.0468,19
AM,2020-05-04,630,37,4144597,7313,176.44659,0.08,19
AP,2020-05-04,251,6,845731,1733,204.91149,0.0283,19
BA,2020-05-04,168,13,14873064,3734,25.10579,0.0378,19
CE,2020-05-04,2661,35,9132078,11040,120.89253,0.0645,19
DF,2020-05-04,73,0,3015268,1793,59.46403,0.0184,19
ES,2020-05-04,143,8,4018650,3351,83.38621,0.0367,19
GO,2020-05-04,11,0,7018354,861,12.26783,0.0348,19
MA,2020-05-04,303,22,7075181,4530,64.02663,0.0598,19
MG,2020-05-04,229,1,21168791,2347,11.08708,0.0383,19
MS,2020-05-04,2,0,2778986,274,9.85971,0.0365,19
MT,2020-05-04,7,1,3484466,344,9.87239,0.0378,19
PA,2020-05-04,342,27,8602865,4262,49.54164,0.0807,19
PB,2020-05-04,142,6,4018127,1361,33.8715,0.0625,19
PE,2020-05-04,220,39,9557071,8863,92.73762,0.078,19
PI,2020-05-04,91,1,3273227,875,26.73203,0.0331,19
PR,2020-05-04,48,1,11433957,1581,13.82723,0.0614,19
RJ,2020-05-04,582,46,17264943,11721,67.88902,0.0909,19
RN,2020-05-04,115,6,3506853,1536,43.79995,0.0443,19
RO,2020-05-04,51,1,1777225,756,42.53823,0.0331,19
RR,2020-05-04,45,4,605761,578,95.41717,0.019,19
RS,2020-05-04,78,9,11377239,1768,15.5398,0.043,19
SC,2020-05-04,104,3,7164788,2623,36.6096,0.021,19
SE,2020-05-04,42,3,2298696,772,33.58426,0.022,19
SP,2020-05-04,415,27,45919049,32187,70.09509,0.0825,19
TO,2020-05-04,36,1,1572866,303,19.2642,0.0231,19
AC,2020-05-05,84,1,881935,817,92.63721,0.0355,19
AL,2020-05-05,67,8,3337357,1605,48.09195,0.0498,19
AM,2020-05-05,796,64,4144597,8109,195.65232,0.08,19
AP,2020-05-05,198,6,845731,1931,228.32319,0.0285,19
BA,2020-05-05,306,5,14873064,4040,27.1632,0.0361,19
CE,2020-05-05,430,83,9132078,11470,125.6012,0.0693,19
DF,2020-05-05,44,1,3015268,1837,60.92327,0.0185,19
ES,2020-05-05,189,10,4018650,3540,88.08928,0.0376,19
GO,2020-05-05,61,8,7018354,922,13.13698,0.0412,19
MA,2020-05-05,498,20,7075181,5028,71.06532,0.0579,19
MG,2020-05-05,105,4,21168791,2452,11.58309,0.0383,19
MS,2020-05-05,9,0,2778986,283,10.18357,0.0353,19
MT,2020-05-05,22,0,3484466,366,10.50376,0.0355,19
PA,2020-05-05,494,31,8602865,4756,55.28391,0.0788,19
PB,2020-05-05,132,7,4018127,1493,37.15662,0.0616,19
PE,2020-05-05,462,58,9557071,9325,97.57174,0.0803,19
PI,2020-05-05,74,1,3273227,949,28.9928,0.0316,19
PR,2020-05-05,27,5,11433957,1608,14.06337,0.0634,19
RJ,2020-05-05,670,58,17264943,12391,71.76971,0.0906,19
RN,2020-05-05,108,4,3506853,1644,46.87964,0.0438,19
RO,2020-05-05,105,4,1777225,861,48.44631,0.0337,19
RR,2020-05-05,291,0,605761,869,143.45592,0.0127,19
RS,2020-05-05,251,7,11377239,2019,17.74596,0.0411,19
SC,2020-05-05,172,3,7164788,2795,39.01023,0.0208,19
SE,2020-05-05,126,4,2298696,898,39.06563,0.0234,19
SP,2020-05-05,1866,197,45919049,34053,74.15877,0.0837,19
TO,2020-05-05,48,2,1572866,351,22.31595,0.0256,19
AC,2020-05-06,126,6,881935,943,106.92398,0.0371,19
AL,2020-05-06,98,9,3337357,1703,51.0284,0.0523,19
AM,2020-05-06,1134,102,4144597,9243,223.01324,0.0813,19
AP,2020-05-06,115,1,845731,2046,241.92089000000001,0.0274,19
BA,2020-05-06,261,14,14873064,4301,28.91805,0.0372,19
CE,2020-05-06,840,54,9132078,12310,134.79955,0.069,19
DF,2020-05-06,209,1,3015268,2046,67.85466,0.0171,19
ES,2020-05-06,174,13,4018650,3714,92.4191,0.0393,19
GO,2020-05-06,102,7,7018354,1024,14.59032,0.0439,19
MA,2020-05-06,361,14,7075181,5389,76.16766,0.0566,19
MG,2020-05-06,153,3,21168791,2605,12.30585,0.0372,19
MS,2020-05-06,5,0,2778986,288,10.36349,0.0347,19
MT,2020-05-06,19,0,3484466,385,11.04904,0.0338,19
PA,2020-05-06,768,35,8602865,5524,64.21117,0.0742,19
PB,2020-05-06,164,9,4018127,1657,41.23812,0.061,19
PE,2020-05-06,556,54,9557071,9881,103.38942,0.0813,19
PI,2020-05-06,102,5,3273227,1051,32.10899,0.0333,19
PR,2020-05-06,39,2,11433957,1647,14.40446,0.0631,19
RJ,2020-05-06,904,82,17264943,13295,77.00576,0.0906,19
RN,2020-05-06,95,4,3506853,1739,49.58862,0.0437,19
RO,2020-05-06,82,4,1777225,943,53.06025,0.035,19
RR,2020-05-06,63,2,605761,932,153.85606,0.0139,19
RS,2020-05-06,81,7,11377239,2100,18.45791,0.0429,19
SC,2020-05-06,122,1,7164788,2917,40.713,0.0202,19
SE,2020-05-06,100,2,2298696,998,43.41592,0.023,19
SP,2020-05-06,3800,194,45919049,37853,82.4342,0.0804,19
TO,2020-05-06,72,0,1572866,423,26.89358,0.0213,19
AC,2020-05-07,71,1,881935,1014,114.97446,0.0355,19
AL,2020-05-07,164,9,3337357,1867,55.94247,0.0525,19
AM,2020-05-07,856,55,4144597,10099,243.66663,0.0798,19
AP,2020-05-07,153,5,845731,2199,260.01175,0.0277,19
BA,2020-05-07,227,5,14873064,4528,30.4443,0.0364,19
CE,2020-05-07,1578,54,9132078,13888,152.0793,0.065,19
DF,2020-05-07,212,0,3015268,2258,74.88555,0.0155,19
ES,2020-05-07,274,11,4018650,3988,99.23731,0.0394,19
GO,2020-05-07,3,-1,7018354,1027,14.63306,0.0428,19
MA,2020-05-07,520,25,7075181,5909,83.5173,0.0558,19
MG,2020-05-07,165,9,21168791,2770,13.0853,0.0383,19
MS,2020-05-07,23,0,2778986,311,11.19113,0.0322,19
MT,2020-05-07,34,1,3484466,419,12.0248,0.0334,19
PA,2020-05-07,411,78,8602865,5935,68.98865,0.0822,19
PB,2020-05-07,192,10,4018127,1849,46.01646,0.06,19
PE,2020-05-07,943,42,9557071,10824,113.25646,0.0781,19
PI,2020-05-07,80,2,3273227,1131,34.55306,0.0327,19
PR,2020-05-07,31,3,11433957,1678,14.67558,0.0638,19
RJ,2020-05-07,861,189,17264943,14156,81.99274,0.0985,19
RN,2020-05-07,82,5,3506853,1821,51.9269,0.0445,19
RO,2020-05-07,155,4,1777225,1098,61.78171,0.0337,19
RR,2020-05-07,88,1,605761,1020,168.38324,0.0137,19
RS,2020-05-07,82,1,11377239,2182,19.17864,0.0417,19
SC,2020-05-07,165,4,7164788,3082,43.01593,0.0204,19
SE,2020-05-07,216,2,2298696,1214,52.81255,0.0206,19
SP,2020-05-07,2075,161,45919049,39928,86.95302,0.0803,19
TO,2020-05-07,71,0,1572866,494,31.40763,0.0182,19
AC,2020-05-08,163,2,881935,1177,133.45655,0.0323,19
AL,2020-05-08,166,10,3337357,2033,60.91647,0.0531,19
AM,2020-05-08,628,68,4144597,10727,258.81889,0.0815,19
AP,2020-05-08,123,5,845731,2322,274.55538,0.0284,19
BA,2020-05-08,290,18,14873064,4818,32.39413,0.038,19
CE,2020-05-08,1246,94,9132078,15134,165.72351,0.0659,19
DF,2020-05-08,184,2,3015268,2442,80.98783,0.0152,19
ES,2020-05-08,254,8,4018650,4242,105.55784,0.0389,19
GO,2020-05-08,26,5,7018354,1053,15.00352,0.0465,19
MA,2020-05-08,856,25,7075181,6765,95.61593,0.0525,19
MG,2020-05-08,173,5,21168791,2943,13.90254,0.0377,19
MS,2020-05-08,15,1,2778986,326,11.7309,0.0337,19
MT,2020-05-08,45,1,3484466,464,13.31624,0.0323,19
PA,2020-05-08,584,86,8602865,6519,75.77708,0.0881,19
PB,2020-05-08,181,3,4018127,2030,50.52105,0.0562,19
PE,2020-05-08,763,82,9557071,11587,121.24007,0.08,19
PI,2020-05-08,102,1,3273227,1233,37.66925,0.0308,19
PR,2020-05-08,56,2,11433957,1734,15.16535,0.0629,19
RJ,2020-05-08,1585,109,17264943,15741,91.17319,0.0955,19
RN,2020-05-08,98,6,3506853,1919,54.72143,0.0453,19
RO,2020-05-08,124,2,1777225,1222,68.75888,0.0319,19
RR,2020-05-08,104,2,605761,1124,185.55173,0.0142,19
RS,2020-05-08,311,4,11377239,2493,21.91217,0.0381,19
SC,2020-05-08,123,0,7164788,3205,44.73266,0.0197,19
SE,2020-05-08,224,3,2298696,1438,62.55721,0.0195,19
SP,2020-05-08,1902,210,45919049,41830,91.09509,0.0817,19
TO,2020-05-08,78,0,1572866,572,36.36673,0.0157,19
AC,2020-05-09,158,2,881935,1335,151.3717,0.03,19
AL,2020-05-09,137,6,3337357,2170,65.02151,0.0525,19
AM,2020-05-09,1198,88,4144597,11925,287.72399,0.0807,19
AP,2020-05-09,171,3,845731,2493,294.77458,0.0277,19
BA,2020-05-09,356,13,14873064,5174,34.78772,0.0379,19
CE,2020-05-09,745,65,9132078,15879,173.88156,0.0669,19
DF,2020-05-09,134,2,3015268,2576,85.43188,0.0151,19
ES,2020-05-09,170,7,4018650,4412,109.78811,0.039,19
GO,2020-05-09,16,-2,7018354,1069,15.23149,0.044,19
MA,2020-05-09,834,24,7075181,7599,107.40361,0.0499,19
MG,2020-05-09,180,7,21168791,3123,14.75285,0.0378,19
MS,2020-05-09,20,0,2778986,346,12.45058,0.0318,19
MT,2020-05-09,38,1,3484466,502,14.4068,0.0319,19
PA,2020-05-09,499,36,8602865,7018,81.57747,0.0869,19
PB,2020-05-09,126,10,4018127,2156,53.65684,0.0575,19
PE,2020-05-09,883,45,9557071,12470,130.47931,0.0779,19
PI,2020-05-09,45,4,3273227,1278,39.04404,0.0329,19
PR,2020-05-09,75,1,11433957,1809,15.82129,0.0608,19
RJ,2020-05-09,1188,150,17264943,16929,98.05419,0.0976,19
RN,2020-05-09,0,0,3506853,1919,54.72143,0.0453,19
RO,2020-05-09,41,2,1777225,1263,71.06585,0.0325,19
RR,2020-05-09,78,2,605761,1202,198.42809,0.015,19
RS,2020-05-09,49,2,11377239,2542,22.34285,0.0382,19
SC,2020-05-09,167,1,7164788,3372,47.0635,0.019,19
SE,2020-05-09,150,5,2298696,1588,69.08265,0.0208,19
SP,2020-05-09,2581,192,45919049,44411,96.71585,0.0812,19
